41_40 465 R=6 short=4 certificate OK: 27 lemmas, 265 steps; Gamma^+ is not left-orderable
41_40 467 R=6 short=4 certificate OK: 49 lemmas, 921 steps; Gamma^+ is not left-orderable
41_40 468 R=6 short=4 certificate OK: 24 lemmas, 320 steps; Gamma^+ is not left-orderable
41_40 489 R=6 short=4 certificate OK: 10 lemmas, 123 steps; Gamma^+ is not left-orderable
41_40 504 R=6 short=4 certificate OK: 10 lemmas, 123 steps; Gamma^+ is not left-orderable
41_40 518 R=6 short=4 certificate OK: 12 lemmas, 155 steps; Gamma^+ is not left-orderable
41_40 519 R=6 short=4 certificate OK: 13 lemmas, 172 steps; Gamma^+ is not left-orderable
41_40 521 R=6 short=4 certificate OK: 10 lemmas, 125 steps; Gamma^+ is not left-orderable
41_40 548 R=6 short=4 certificate OK: 10 lemmas, 167 steps; Gamma^+ is not left-orderable
41_40 604 R=6 short=4 certificate OK: 10 lemmas, 123 steps; Gamma^+ is not left-orderable
41_40 622 R=6 short=4 certificate OK: 10 lemmas, 131 steps; Gamma^+ is not left-orderable
41_40 693 R=6 short=4 certificate OK: 10 lemmas, 123 steps; Gamma^+ is not left-orderable
41_40 708 R=6 short=4 certificate OK: 10 lemmas, 123 steps; Gamma^+ is not left-orderable
41_40 722 R=6 short=4 certificate OK: 10 lemmas, 188 steps; Gamma^+ is not left-orderable
41_40 723 R=6 short=4 certificate OK: 10 lemmas, 201 steps; Gamma^+ is not left-orderable
41_40 725 R=6 short=4 certificate OK: 11 lemmas, 184 steps; Gamma^+ is not left-orderable
41_40 762 R=6 short=4 certificate OK: 24 lemmas, 320 steps; Gamma^+ is not left-orderable
41_40 764 R=6 short=4 certificate OK: 30 lemmas, 361 steps; Gamma^+ is not left-orderable
41_40 765 R=6 short=4 certificate OK: 24 lemmas, 320 steps; Gamma^+ is not left-orderable
41_40 769 R=6 short=4 certificate OK: 18 lemmas, 318 steps; Gamma^+ is not left-orderable
41_40 772 R=6 short=4 certificate OK: 29 lemmas, 439 steps; Gamma^+ is not left-orderable
41_40 773 R=6 short=4 certificate OK: 21 lemmas, 324 steps; Gamma^+ is not left-orderable
41_40 811 R=6 short=4 certificate OK: 10 lemmas, 135 steps; Gamma^+ is not left-orderable
41_40 812 R=6 short=4 certificate OK: 10 lemmas, 136 steps; Gamma^+ is not left-orderable
41_40 853 R=6 short=4 certificate OK: 8 lemmas, 111 steps; Gamma^+ is not left-orderable
41_40 854 R=6 short=4 certificate OK: 14 lemmas, 254 steps; Gamma^+ is not left-orderable
41_40 862 R=6 short=4 certificate OK: 12 lemmas, 147 steps; Gamma^+ is not left-orderable
