310 pi_s=e a pi_t=a a s|0=E s E t|0=E t A s|3=t | infinite ord(SSSSST)=inf ('A E t A E t A E t a a a E t', 11, 'A E t A E t A E t a a a E t')
311 pi_s=e a pi_t=a a s|0=E s E t|0=E t E s|3=t | infinite ord(STStt)=inf ('a a E t E E t E', 11, 'a a E t E E t E')
313 pi_s=e a pi_t=e e s|0=A s A t|0=A t E s|3=t | undecided
314 pi_s=e a pi_t=e e s|0=A s A t|0=E t A s|3=t | infinite ord(SStSt)=inf ('A E t E t', 8, 'A E t E t')
315 pi_s=e a pi_t=e e s|0=A s A t|0=E t E s|3=t | undecided
317 pi_s=e a pi_t=e e s|0=A s E t|0=A t E s|3=t | infinite ord(SSSST)=inf ('A t E A t E t E', 6, 'A t E A t E t E')
320 pi_s=e a pi_t=e e s|0=E s A t|0=A t A s|3=t | undecided
321 pi_s=e a pi_t=e e s|0=E s A t|0=A t E s|3=t | undecided
322 pi_s=e a pi_t=e e s|0=E s A t|0=E t A s|3=t | undecided
323 pi_s=e a pi_t=e e s|0=E s A t|0=E t E s|3=t | undecided
325 pi_s=e a pi_t=e e s|0=E s E t|0=A t E s|3=t | infinite ord(SSStt)=inf ('A t E a t E', 8, 'A t E t E')
326 pi_s=e a pi_t=e e s|0=E s E t|0=E t A s|3=t | undecided
327 pi_s=e a pi_t=e e s|0=E s E t|0=E t E s|3=t | undecided
328 pi_s=a a pi_t=e s|0=A s A t|0=A t s|3=t | undecided
329 pi_s=a a pi_t=e s|0=A s A t|0=E t s|3=t | undecided
330 pi_s=a a pi_t=e s|0=A s E t|0=A t s|3=t | infinite ord(SSStt)=inf ('A t t', 8, 'A t a t')
331 pi_s=a a pi_t=e s|0=A s E t|0=E t s|3=t | undecided
332 pi_s=a a pi_t=e s|0=E s A t|0=A t s|3=t | undecided
333 pi_s=a a pi_t=e s|0=E s A t|0=E t s|3=t | undecided
335 pi_s=a a pi_t=e s|0=E s E t|0=E t s|3=t | undecided
336 pi_s=a a pi_t=a e s|0=A s A t|0=A t A s|3=t | undecided
337 pi_s=a a pi_t=a e s|0=A s A t|0=A t E s|3=t | undecided
339 pi_s=a a pi_t=a e s|0=A s A t|0=E t E s|3=t | undecided
340 pi_s=a a pi_t=a e s|0=A s E t|0=A t A s|3=t | undecided
341 pi_s=a a pi_t=a e s|0=A s E t|0=A t E s|3=t | undecided
345 pi_s=a a pi_t=a e s|0=E s A t|0=A t E s|3=t | undecided
347 pi_s=a a pi_t=a e s|0=E s A t|0=E t E s|3=t | undecided
348 pi_s=a a pi_t=a e s|0=E s E t|0=A t A s|3=t | infinite ord(SSSST)=inf ('A A t A A t A t', 6, 'A A t A A t A t')
349 pi_s=a a pi_t=a e s|0=E s E t|0=A t E s|3=t | undecided
352 pi_s=a a pi_t=a E s|0=A s A t|0=A t a s|3=t | undecided
353 pi_s=a a pi_t=a E s|0=A s A t|0=A t e s|3=t | undecided
354 pi_s=a a pi_t=a E s|0=A s A t|0=E t a s|3=t | undecided
355 pi_s=a a pi_t=a E s|0=A s A t|0=E t e s|3=t | undecided
357 pi_s=a a pi_t=a E s|0=A s E t|0=A t e s|3=t | undecided
360 pi_s=a a pi_t=a E s|0=E s A t|0=A t a s|3=t | undecided
361 pi_s=a a pi_t=a E s|0=E s A t|0=A t e s|3=t | undecided
362 pi_s=a a pi_t=a E s|0=E s A t|0=E t a s|3=t | undecided
363 pi_s=a a pi_t=a E s|0=E s A t|0=E t e s|3=t | undecided
365 pi_s=a a pi_t=a E s|0=E s E t|0=A t e s|3=t | undecided
368 pi_s=a a pi_t=e a s|0=A s A t|0=A t A s|3=t | undecided
371 pi_s=a a pi_t=e a s|0=A s A t|0=E t E s|3=t | undecided
372 pi_s=a a pi_t=e a s|0=A s E t|0=A t A s|3=t | infinite ord(SSSST)=inf ('A A t A A t A t', 6, 'A A t A A t A t')
375 pi_s=a a pi_t=e a s|0=A s E t|0=E t E s|3=t | undecided
376 pi_s=a a pi_t=e a s|0=E s A t|0=A t A s|3=t | undecided
384 pi_s=a a pi_t=e e s|0=A s A t|0=A t A s|3=t | undecided
385 pi_s=a a pi_t=e e s|0=A s A t|0=A t E s|3=t | undecided
386 pi_s=a a pi_t=e e s|0=A s A t|0=E t A s|3=t | undecided
387 pi_s=a a pi_t=e e s|0=A s A t|0=E t E s|3=t | undecided
