===== slice 0 of 16 (k5lane.sh 16 0; log k5_n16_s0.log)
n16s9 m=5 first phase in [0.883573,0.981748]: ALL CLOSED  boxes 31501 (reused parent Z 17419)  solves 44854  min center value 7.282728 at [0.8999, 5.3669, 0.9163, 5.8905, 1.1781, 1.4399]  smallest half-width 1.31e-01  time 1440s
===== slice 13 of 16 (k5lane.sh 16 13; log k5_n16_s13.log)
solves 2000 closed 1394 stack 702 minval 7.324097 t 54
solves 6000 closed 4184 stack 614 minval 7.324097 t 155
solves 8000 closed 5573 stack 575 minval 7.324097 t 209
solves 10000 closed 6977 stack 541 minval 7.324097 t 266
solves 12000 closed 8374 stack 513 minval 7.316711 t 321
solves 14000 closed 9759 stack 496 minval 7.316711 t 372
solves 18000 closed 12558 stack 443 minval 7.302909 t 503
solves 22000 closed 15341 stack 360 minval 7.302909 t 640
solves 24000 closed 16738 stack 327 minval 7.302909 t 712
solves 26000 closed 18145 stack 277 minval 7.302909 t 784
solves 28000 closed 19537 stack 264 minval 7.302909 t 860
solves 32000 closed 22314 stack 231 minval 7.302909 t 1018
solves 36000 closed 25104 stack 145 minval 7.302909 t 1176
resumed 168 boxes on stack
solves 36000 closed 25104 stack 145 minval 7.302909 t 1175
solves 38000 closed 26490 stack 100 minval 7.302909 t 1253
solves 42000 closed 29274 stack 33 minval 7.302909 t 1413
n16s13 m=5 first phase in [1.276272,1.374447]: ALL CLOSED  boxes 31852 (reused parent Z 17266)  solves 45709  min center value 7.302909 at [1.3254, 5.8905, 5.6287, 4.9742, 5.3669, 1.1781]  smallest half-width 1.31e-01  time 1552s
===== slice 14 of 16 (k5lane.sh 16 14; log k5_n16_s14.log)
solves 2000 closed 1385 stack 700 minval 7.297417 t 72
solves 4000 closed 2784 stack 658 minval 7.297417 t 142
solves 6000 closed 4177 stack 612 minval 7.297417 t 212
solves 10000 closed 6954 stack 542 minval 7.297417 t 352
solves 12000 closed 8352 stack 516 minval 7.297417 t 420
solves 14000 closed 9756 stack 495 minval 7.297417 t 493
solves 18000 closed 12558 stack 435 minval 7.297417 t 641
solves 22000 closed 15342 stack 355 minval 7.297417 t 784
resumed 197 boxes on stack
solves 38000 closed 26490 stack 97 minval 7.282728 t 1296
solves 40000 closed 27883 stack 61 minval 7.282728 t 1359
solves 42000 closed 29277 stack 30 minval 7.282728 t 1426
solves 44000 closed 30675 stack 14 minval 7.282728 t 1493
n16s14 m=5 first phase in [1.374447,1.472622]: ALL CLOSED  boxes 31756 (reused parent Z 17242)  solves 45541  min center value 7.282728 at [1.4235, 0.3927, 0.9163, 0.1309, 0.3927, 1.4399]  smallest half-width 1.31e-01  time 1548s
===== slice 15 of 16 (k5lane.sh 16 15; log k5_n16_s15.log)
solves 2000 closed 1372 stack 700 minval 7.401933 t 74
solves 4000 closed 2777 stack 650 minval 7.401933 t 146
solves 8000 closed 5560 stack 583 minval 7.339022 t 283
solves 12000 closed 8337 stack 512 minval 7.331906 t 415
solves 14000 closed 9733 stack 496 minval 7.331906 t 479
solves 16000 closed 11116 stack 484 minval 7.319691 t 545
solves 18000 closed 12516 stack 433 minval 7.319691 t 613
solves 20000 closed 13897 stack 397 minval 7.319691 t 688
solves 22000 closed 15295 stack 358 minval 7.319691 t 763
solves 24000 closed 16696 stack 321 minval 7.319691 t 827
solves 28000 closed 19474 stack 264 minval 7.319691 t 951
solves 32000 closed 22257 stack 216 minval 7.300155 t 1072
solves 34000 closed 23656 stack 179 minval 7.300155 t 1127
resumed 161 boxes on stack
solves 36000 closed 25048 stack 128 minval 7.300155 t 1181
solves 38000 closed 26439 stack 94 minval 7.300155 t 1243
solves 40000 closed 27821 stack 56 minval 7.300155 t 1301
solves 44000 closed 30612 stack 13 minval 7.300155 t 1415
n16s15 m=5 first phase in [1.472622,1.570796]: ALL CLOSED  boxes 31496 (reused parent Z 17025)  solves 45238  min center value 7.300155 at [1.489, 6.1523, 6.1523, 5.6287, 5.3669, 4.9742]  smallest half-width 2.62e-01  time 1454s
