TOP AAAttATATaattATataaTT n=2 W0=A0.A0.A0.A2.A1.a0.a0.A2.a1.a2.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATATaattaaTatATT n=2 W0=A0.A0.A0.A2.A1.a0.a0.a2.a2.a1.A2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATAtATTaatataaTT n=2 W0=A0.A0.A0.A2.A1.A2.a0.a0.a1.a2.a2 s=a2 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATAtATaTaattaaTT n=2 W0=A0.A0.A0.A2.A1.A2.a1.a0.a0.a2.a2 s=a2 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATAtaaTTaatatATT n=2 W0=A0.A0.A0.A2.A1.a2.a2.a0.a0.a1.A2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATaTatATaattaaTT n=2 W0=A0.A0.A0.A2.a1.a0.A1.a0.a0.a2.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATaTaatATattaaTT n=2 W0=A0.A0.A0.A2.a1.a0.a0.A1.a0.a2.a2 s=a0 h0=-3 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATaTaattATAtaaTT n=2 W0=A0.A0.A0.A2.a1.a0.a0.A2.A1.a2.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATatATTaatAtaaTT n=2 W0=A0.A0.A0.A2.a1.A2.a0.a0.A1.a2.a2 s=a2 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttATatATATaattaaTT n=2 W0=A0.A0.A0.A2.a1.A2.A1.a0.a0.a2.a2 s=a2 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttaTTaatAtAATataTT n=2 W0=A0.A0.A0.a2.a0.a0.A1.A2.A2.a1.a2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttaTTaatatAATAtaTT n=2 W0=A0.A0.A0.a2.a0.a0.a1.A2.A2.A1.a2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttaTATaattAATataTT n=2 W0=A0.A0.A0.a2.A1.a0.a0.A2.A2.a1.a2 s=a2 h0=0 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAttaTAtAATTaatataTT n=2 W0=A0.A0.A0.a2.A1.A2.A2.a0.a0.a1.a2 s=a2 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAtAATataTattAATataTT n=2 W0=A0.A0.A1.A1.a0.a1.a0.A2.A2.a1.a2 s=a0 h0=0 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
TOP AAtAATataTattATataaTT n=2 W0=A0.A0.A1.A1.a0.a1.a0.A2.a1.a2.a2 s=a0 h0=0 -> (3, 3, 2, 'PASS sZ=(2, 2)', 'PASS sZ=(2, 2)')
