OVERFLOW active=3001 total=3196
  TTaTaTaaTaaaaTaat -> aaTaaTaaaaTaaaaaaaaTaaaaT
  TTaTaTaaTaaaaTaaat -> aaTaaTaaaaTaaaaaaaaTaaaaaaT
  TTaTaTaaTaaaaTaaaat -> aaTaaTaaaaTaaaaaaaaTaaaaaaaaT
  TTATaaTaaTat -> AATaaaaTaaaaTaaT
  TTaaTaaTaTat -> aaaaTaaaaTaaTaaT
  TTaaTaaTaTaat -> aaaaTaaaaTaaTaaaaT
  TTaaTaaTaTaaat -> aaaaTaaaaTaaTaaaaaaT
  TTaaTaaTaTaaaat -> aaaaTaaaaTaaTaaaaaaaaT
  TTaaTaaTaTaaaaat -> aaaaTaaaaTaaTaaaaaaaaaaT
  TTaaTaaTaTaaaaaat -> aaaaTaaaaTaaTaaaaaaaaaaaaT
  TTATaaTaaTaat -> AATaaaaTaaaaTaaaaT
  TTaaTaaTaaTat -> aaaaTaaaaTaaaaTaaT
  TTaaTaaTaaTaat -> aaaaTaaaaTaaaaTaaaaT
  TTaaTaaTaaTaaat -> aaaaTaaaaTaaaaTaaaaaaT
  TTaaTaaTaaTaaaat -> aaaaTaaaaTaaaaTaaaaaaaaT
  TTaaTaaTaaTaaaaat -> aaaaTaaaaTaaaaTaaaaaaaaaaT
  TTaaTaaTaaTaaaaaat -> aaaaTaaaaTaaaaTaaaaaaaaaaaaT
  TTATaaTaaTaaat -> AATaaaaTaaaaTaaaaaaT
  TTaaTaaTaaaTat -> aaaaTaaaaTaaaaaaTaaT
  TTaaTaaTaaaTaat -> aaaaTaaaaTaaaaaaTaaaaT
  TTaaTaaTaaaTaaat -> aaaaTaaaaTaaaaaaTaaaaaaT
  TTaaTaaTaaaTaaaat -> aaaaTaaaaTaaaaaaTaaaaaaaaT
  TTaaTaaTaaaTaaaaat -> aaaaTaaaaTaaaaaaTaaaaaaaaaaT
  TTaaTaaTaaaTaaaaaat -> aaaaTaaaaTaaaaaaTaaaaaaaaaaaaT
  TTATaaTaaTaaaat -> AATaaaaTaaaaTaaaaaaaaT
  TTaaTaaTaaaaTat -> aaaaTaaaaTaaaaaaaaTaaT
  TTaaTaaTaaaaTaat -> aaaaTaaaaTaaaaaaaaTaaaaT
  TTaaTaaTaaaaTaaat -> aaaaTaaaaTaaaaaaaaTaaaaaaT
  TTaaTaaTaaaaTaaaat -> aaaaTaaaaTaaaaaaaaTaaaaaaaaT
  TTaaTaaTaaaaTaaaaat -> aaaaTaaaaTaaaaaaaaTaaaaaaaaaaT
  AtaTAtAT -> taTAtATA
  ataTAtAT -> taTAtATa
  tatATAtATATaaaTaaat -> taTAtAtaTAtaaaaaTaaaaaaT
  tatATAtATATaaaTaaaat -> taTAtAtaTAtaaaaaTaaaaaaaaT
  tatATAtATATaaaTaaaaat -> taTAtAtaTAtaaaaaTaaaaaaaaaaT
  tatATAtATATaaaTaaaaaat -> taTAtAtaTAtaaaaaTaaaaaaaaaaaaT
  atATAtATATaaaat -> aTAtAtaTAtaaaaaaaT
  ttAtATAtATATaaaat -> ttATAtAtaTAtaaaaaaaT
  tatATAtATATaaaaTat -> taTAtAtaTAtaaaaaaaTaaT
  tatATAtATATaaaaTaat -> taTAtAtaTAtaaaaaaaTaaaaT
  tatATAtATATaaaaTaaat -> taTAtAtaTAtaaaaaaaTaaaaaaT
  tatATAtATATaaaaTaaaat -> taTAtAtaTAtaaaaaaaTaaaaaaaaT
  tatATAtATATaaaaTaaaaat -> taTAtAtaTAtaaaaaaaTaaaaaaaaaaT
  aTaTAtATA -> ATaTAtAT
  aaTaTAtAT -> TaTAtATa
  atATAtaTA -> tATAtaT
  AtATAtATTa -> tATAtaTAT
  TatAtATAAtaT -> taTAAtaTA
  TAtATAtat -> ATAtatAA
  tATAtaTAAt -> AAtATAta
  ATATatAtATAta -> TAtATATatAt
  ATAtaTATaaat -> TAtATAtaaaaaaaT
  TAtATAAtaT -> ATAAtaTA
  ATAtaTATaaaat -> TAtATAtaaaaaaaaaT
  ATAtaTATaaaaat -> TAtATAtaaaaaaaaaaaT
  ATAtaTATaaaaaat -> TAtATAtaaaaaaaaaaaaaT
  AATATAtaT -> TATAtaTA
  aTATAtaT -> ATATAtaTa
  aTATAtATATAtaT -> ATATAtATaTA
