OVERFLOW active=3001 total=3258
  TTaTaatatattaTaaTaataaaa -> aaTaaaataataTTaTaTataatt
  TTaTaatataattttATTTaaTaaT -> aaTaaaataatattaTTTTaTaTat
  TTaTaatatattaTaaTaataataa -> aaTaaaataataTTaTaTatatatt
  TTaTaatatatttAtATAtaaaaaT -> aaTaaaataatattaTAtaTATaat
  TTaTaatatatttAtATAtaaaTaaT -> aaTaaaataatattaTAtaTATaTat
  TaatattaTaaaataataTTaaTat -> taaaataTTaTaatataattaTaaT
  TaatattaTaaaataataTTaaaTat -> taaaataTTaTaatataaattaTaaT
  TatataattaTaaaaT -> taataataTTaaTaat
  TTaaatataattaTaaaaT -> aaaaaataataTTaaTaat
  TTaTaatataattaTaaaaT -> aaTaaaataataTTaaTaat
  ttaTAtaTATaatataattaTaaaaT -> atAtATAtaaaaataataTTaaTaat
  TatatattaTaaaataataTTaaTat -> taataataTTaTaatataattaTaaT
  TatatattaTaaaataataTTaaaTat -> taataataTTaTaatataaattaTaaT
  TTAt -> AAT
  TTATat -> AATaaT
  AATaaaaT -> TTATaat
  AATaaTaaT -> TTATaTat
  TTATaaatt -> AATaaaaaa
  AATaaaaaaaa -> TTATaaaatt
  AATaaaaaataa -> TTATaaatatt
  AATaaTaaaaaa -> TTATaTaaatt
  AATaaTaaaataa -> TTATaTaatatt
  AAttATTTT -> ttATTTTA
  TaatAttATT -> taaaatATTA
  AttATTTTTTa -> ttaTTTTaTT
  TatatAttATT -> taataatATTA
  TTaaaatAttATT -> aaaaaaaatATTA
  TTaaatatAttATT -> aaaaaataatATTA
  TTaTaaatAttATT -> aaTaaaaaatATTA
  TTaTaatatAttATT -> aaTaaaataatATTA
  ttaTTTTA -> AttATTTT
  ATTATaaaaT -> aTTTTATaat
  AttATTTTATT -> ttaTTTTTTA
  ttttATTTTA -> AttttATTTT
  ATTATaaTaaT -> aTTTTATaTat
  ATTATaaaaaaaa -> aTTTTATaaaatt
  ATTATaaaaaataa -> aTTTTATaaatatt
  ATTATaaTaaaaaa -> aTTTTATaTaaatt
  ATTATaaTaaaataa -> aTTTTATaTaatatt
  TatAtATAtATT -> taTAtaTATA
  TaatAtATAtATT -> taaaTAtaTATA
  TatatAtATAtATT -> taataTAtaTATA
  TaaatAtATAtATT -> taaaaaTAtaTATA
  TataatAtATAtATT -> taataaaTAtaTATA
  TaatatAtATAtATT -> taaaataTAtaTATA
  ttaTAtaTATaTTTTA -> atAtATAtATTTTATT
  ttaTAtaTATaTTaTT -> atAtATAtATTTTTTa
  TatatatAtATAtATT -> taataataTAtaTATA
  TTaaatatAtATAtATT -> aaaaaataTAtaTATA
  TTaaataatAtATAtATT -> aaaaaataaaTAtaTATA
  TTaaaatatAtATAtATT -> aaaaaaaataTAtaTATA
  TTaTaataatAtATAtATT -> aaTaaaataaaTAtaTATA
  TTaaatatatAtATAtATT -> aaaaaataataTAtaTATA
  TTaTaaatatAtATAtATT -> aaTaaaaaataTAtaTATA
  TTaTaatatatAtATAtATT -> aaTaaaataataTAtaTATA
  ttaTAtaTATaaatatAtATAtATT -> atAtATATaaattataTAtaTATA
  attaTTTTaTT -> ttATTTTTTa
  aTTaTTTTaTTaTT -> ATTTTATTTTTTa
  aattttaTTTTTT -> ttttaTTTTTTa
  aTTaTTaaaaaaaaa -> ATTTTTTaaaaatt
  aTTaTTaaaaaaataa -> ATTTTTTaaaatatt
  aTTaTTaTaaaaaaaa -> ATTTTTTaTaaaatt
  aTTaTTaTaaaaaataa -> ATTTTTTaTaaatatt
  attaTTTTTTA -> ttATTTTATT
  aTTaTTTTaTTTTA -> ATTTTATTTTATT
  attttaTTTTTTA -> AttttaTTTTTT
  attaTTTTaTaaaaT -> ttATTTTTTaTaat
  aTTaTTTTaTTaTaaaaT -> ATTTTATTTTTTaTaat
  aattttaTTTTTaaaaT -> ttttaTTTTTTaTaat
  ttaTAtaTATaTTaTaaaaT -> atAtATAtATTTTTTaTaat
  aTTaTTaTaaaataataTTaaTat -> ATTTTTTaTaatataattaTaaT
  aTTaTTaTaaaataataTTaaaTat -> ATTTTTTaTaatataaattaTaaT
  attaTTTTaaaTaaT -> ttATTTTTTaaTat
  aTTaTTTTaTTaaaTaaT -> ATTTTATTTTTTaaTat
  aaaattttaTTTTTaaT -> ttttaTTTTTTaaTat
  ttaTAtaTATaTTaaaTaaT -> atAtATAtATTTTTTaaTat
  aTTaTTaaaTaataataTTaaTat -> ATTTTTTaaTatataattaTaaT
  aTTaTTaaaTaataataTTaaaTat -> ATTTTTTaaTatataaattaTaaT
  attaTTTTaTaaTaaT -> ttATTTTTTaTaTat
  aTTaTTTTaTTaTaaTaaT -> ATTTTATTTTTTaTaTat
  aattttaTTTTTaaTaaT -> ttttaTTTTTTaTaTat
  ttaTAtaTATaTTaTaaTaaT -> atAtATAtATTTTTTaTaTat
  aTTaTTaTaaTaataataTTaaTat -> ATTTTTTaTaTatataattaTaaT
  aTTaTTaTaaTaataataTTaaaTat -> ATTTTTTaTaTatataaattaTaaT
  Taaattataaaa -> taTTaaataatt
