coordinate qsharp_0 lift_0
220 5393424313818954224848030465628012841566382794329841712253506706501230075517/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
221 -784255504974263157948308757891827308146058010457618558695251018750044737123/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
222 -21784331035095511857876071767041620084891739377410625374515033690253147266497/804004234784749835623050938825990679641915451901584223035995870071318966348431 -13973655175
223 2126318994295521055210921108500859529626505187360422599909585851253605785855/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
224 6040836994713647041052571462696468641056474127331012264359106360978747255520/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
225 -443711806942726772560584413646851565188571921066298134880169538173806192636/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
226 21308150329161695732284009506445564123045995141036177376815939470273816506228/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
227 1815228375898273224493793504141226720257974819221031426604834948251247689661/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
228 -7238672673951181071716116773851911644908215722654625048399867568661763223138/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
229 1422771056082031021008238137951977121482848568833472652522596183520311894129/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
230 15947422716722744713839555870047414931431232453101564508385362777859415438561/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
231 -772521534657619562954483092543365343694159412776551247240150269080258195358/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
232 -5278969169905984205594487721884269202031574320490095155196488185087538809261/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
233 -1845423284052079544121866452900427237325383007038021326129809661441292918278/89333803864972203958116770980665631071323939100176024781777318896813218483159 0
234 5903966669358372453430389512179785899420276976938149634651869910199333805459/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
235 -13788328741324243865033728462419156819338160102633629561639437118959958763737/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
236 16577358244571473877490470974980758735032182687925206334363186587810893406305/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
237 3039967136954755968463068323018402052755071301511524506527986690955823214983/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
238 -3013764718727996020026951477863416198479679997399242612843170961966720664164/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
239 4468547648322700147348897629844291795599731375688559965990147012262234402130/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
240 -1319034807417339946453820803378182659481672244930106281134330710181885431279/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
241 -6284801427742819171077524331156525049490401953004738397697497313225816774350/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
242 1812393923127215339686487474025847183491580675275339887497477037197086084031/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
243 19202020567969686077280830851545919150882244209599952903960895656489411926620/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
244 7720102327772644280327251007348337997206367796158306477430558058476657307511/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
