coordinate qsharp lift
123 271045571698146999661181540478738014104561672913411978377728043625635712861722075/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
124 202591061374951621489899935260350012614895750586883235170920452766370487373423187/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
125 -129837484227734768036416369811596040811691312092323160736280405310573570267494681/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
126 -106052752486282625801960221235435935903979792023701817883989146886844139831872147/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
127 56919642545045049513879830975574546723052211094521796620038652400680903501793554/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
128 80258345730744626237518369694296367813130414308835478203703529387726243185465880/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
129 281040720605001424645338894196195744090387041301274410236563317053431712108603115/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
130 -194389413911147165661468510582188147999293675419118301280801019897902754730691264/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
131 -370494107278488901650161854726910326648723910873497134926401014116307580097053513/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
132 309183100223700211115102169661499400131563703160667785250215525823208096805428845/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
133 -95603496462955769702171714525435307401238204090299805624445064822359718024872023/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
134 -394062761196551851860709980423997947954019505218461269245055950686675526161164378/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
135 391243240850368087716326650609687998122339709148216003795609182712324606811218425/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
136 0 0
137 232527075147037683350868386031084548296111324173103731895347463330652637311198138/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
138 144111031361183222595692077190409380839485145602483742899311988024780577203717642/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
139 -128889951906062714953090536098315415230736915908882124618580809259806222909297330/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
140 273332570475944664759273093298105525029171467373833814355810945927271185473094656/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
141 96110512120345824658950511668333450243366127495005028407629707199116253295988874/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
142 -96110512120345824658950511668333450243366127495005028407629707199116253295988874/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
143 -65413073099161945738501734590479098078713125183525960347178270977963340686163753/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
144 0 0
