310 124
279 63 1
279 63 -1
279 64 1
279 62 1
279 62 -1
279 68 -1
279 68 -1
279 64 1
279 67 1
279 68 1
279 62 1
279 64 1
279 95 1
279 95 -1
279 93 -1
279 93 1
279 98 1
279 98 -1
280 6 1
280 9 -1
280 4 1
280 6 -1
280 8 1
280 15 -1
280 31 -1
280 37 -1
280 32 -1
280 45 -1
280 31 1
280 32 1
280 37 1
280 39 -1
280 40 1
280 48 1
280 50 1
280 62 1
280 62 -1
280 72 1
280 63 1
280 70 -1
280 62 -1
280 63 -1
280 62 1
280 76 1
280 70 1
280 77 1
280 82 1
280 103 1
280 94 -1
280 97 -1
280 94 1
280 97 1
280 96 -1
281 5 1
281 0 -1
281 0 1
281 2 -1
281 0 1
281 5 -1
281 37 -1
281 34 -1
281 37 -1
281 31 -1
281 32 1
281 31 1
281 33 1
281 31 -1
281 31 1
281 31 1
281 37 1
281 68 1
281 64 -1
281 67 1
281 68 1
281 67 -1
281 63 -1
281 62 -1
281 63 1
281 68 1
281 62 1
281 67 1
281 62 1
281 98 1
281 93 -1
281 98 -1
281 95 1
281 93 1
281 95 -1
282 1 1
282 8 -1
282 1 1
282 8 -1
282 15 1
282 21 -1
282 34 -1
282 31 -1
282 36 -1
282 32 -1
282 35 1
282 35 1
282 39 1
282 46 -1
282 39 1
282 49 1
282 46 1
282 65 1
282 67 -1
282 66 1
282 67 1
282 65 -1
282 66 -1
282 66 -1
282 66 1
282 78 1
282 71 1
282 83 1
282 73 1
282 97 1
282 97 -1
282 103 -1
282 96 1
282 94 1
282 94 -1
283 8 1
283 10 -1
283 10 1
283 1 -1
283 5 1
283 8 -1
283 35 -1
283 39 -1
283 35 -1
283 47 -1
283 34 1
283 36 1
283 31 1
283 36 -1
283 47 1
283 45 1
283 35 1
283 66 1
283 66 -1
283 71 1
283 66 1
283 71 -1
283 65 -1
283 67 -1
283 67 1
283 65 1
283 64 1
283 70 1
283 76 1
283 102 1
283 96 -1
283 94 -1
283 97 1
283 103 1
283 101 -1
284 0 1
284 5 -1
284 2 1
284 0 -1
284 6 1
284 2 -1
284 36 -1
284 32 -1
284 34 -1
284 34 -1
284 36 1
284 34 1
284 32 1
284 37 -1
284 37 1
284 34 1
284 31 1
284 67 1
284 65 -1
284 62 1
284 65 1
284 64 -1
284 67 -1
284 65 -1
284 65 1
284 63 1
284 65 1
284 64 1
284 67 1
284 93 1
284 98 -1
284 95 -1
284 98 1
284 95 1
284 93 -1
285 3 1
285 6 -1
285 6 1
285 3 -1
285 2 1
285 3 -1
285 33 -1
285 36 -1
285 33 -1
285 36 -1
285 33 1
285 33 1
285 36 1
285 33 -1
285 36 1
285 32 1
285 33 1
285 64 1
285 68 -1
285 68 1
285 64 1
285 68 -1
285 64 -1
285 64 -1
285 68 1
285 62 1
285 67 1
285 65 1
285 63 1
285 99 1
285 99 -1
285 99 -1
285 99 1
285 99 1
285 99 -1
286 16 1
286 16 -1
286 19 1
286 19 -1
286 10 1
286 7 -1
286 40 -1
286 48 -1
286 44 -1
286 52 -1
286 51 1
286 52 1
286 42 1
286 41 -1
286 41 1
286 52 1
286 41 1
286 71 1
286 77 -1
286 78 1
286 75 1
286 69 -1
286 82 -1
286 83 -1
286 79 1
286 80 1
286 83 1
286 69 1
286 78 1
286 109 1
286 109 -1
286 100 -1
286 100 1
286 112 1
286 112 -1
287 14 1
287 3 -1
287 3 1
287 15 -1
287 19 1
287 14 -1
287 39 -1
287 45 -1
287 39 -1
287 33 -1
287 42 1
287 50 1
287 38 1
287 50 -1
287 33 1
287 35 1
287 39 1
287 70 1
287 70 -1
287 63 1
287 70 1
287 63 -1
287 73 -1
287 81 -1
287 80 1
287 72 1
287 78 1
287 76 1
287 66 1
287 94 1
287 103 -1
287 102 -1
287 101 1
287 96 1
287 97 -1
288 21 1
288 1 -1
288 8 1
288 21 -1
288 4 1
288 1 -1
288 38 -1
288 51 -1
288 46 -1
288 39 -1
288 38 1
288 46 1
288 51 1
288 35 -1
288 32 1
288 33 1
288 36 1
288 69 1
288 75 -1
288 65 1
288 77 1
288 66 -1
288 69 -1
288 77 -1
288 75 1
288 66 1
288 76 1
288 63 1
288 68 1
288 96 1
288 102 -1
288 101 -1
288 102 1
288 101 1
288 103 -1
289 15 1
289 4 -1
289 9 1
289 14 -1
289 1 1
289 6 -1
289 42 -1
289 38 -1
289 50 -1
289 40 -1
289 39 1
289 39 1
289 45 1
289 32 -1
289 45 1
289 36 1
289 32 1
289 73 1
289 80 -1
289 70 1
289 81 1
289 72 -1
289 70 -1
289 70 -1
289 70 1
289 64 1
289 63 1
289 68 1
289 65 1
289 101 1
289 101 -1
289 96 -1
289 103 1
289 102 1
289 102 -1
290 9 1
290 25 -1
290 26 1
290 4 -1
290 9 1
290 23 -1
290 41 -1
290 44 -1
290 49 -1
290 58 -1
290 45 1
290 45 1
290 35 1
290 40 -1
290 56 1
290 43 1
290 57 1
290 72 1
290 81 -1
290 87 1
290 80 1
290 74 -1
290 76 -1
290 76 -1
290 76 1
290 79 1
290 77 1
290 85 1
290 84 1
290 118 1
290 107 -1
290 104 -1
290 104 1
290 119 1
290 108 -1
291 27 1
291 14 -1
291 15 1
291 29 -1
291 26 1
291 20 -1
291 43 -1
291 57 -1
291 53 -1
291 46 -1
291 59 1
291 60 1
291 59 1
291 57 -1
291 35 1
291 50 1
291 40 1
291 74 1
291 84 -1
291 76 1
291 84 1
291 73 -1
291 90 -1
291 91 -1
291 92 1
291 85 1
291 89 1
291 82 1
291 72 1
291 107 1
291 118 -1
291 105 -1
291 105 1
291 108 1
291 119 -1
292 17 1
292 24 -1
292 18 1
292 22 -1
292 17 1
292 10 -1
292 46 -1
292 47 -1
292 38 -1
292 51 -1
292 55 1
292 55 1
292 43 1
292 48 -1
292 43 1
292 40 1
292 48 1
292 77 1
292 71 -1
292 85 1
292 69 1
292 75 -1
292 86 -1
292 86 -1
292 85 1
292 69 1
292 80 1
292 72 1
292 77 1
292 116 1
292 116 -1
292 114 -1
292 106 1
292 111 1
292 111 -1
293 4 1
293 12 -1
293 11 1
293 9 -1
293 22 1
293 29 -1
293 45 -1
293 35 -1
293 45 -1
293 48 -1
293 41 1
293 49 1
293 44 1
293 53 -1
293 55 1
293 61 1
293 60 1
293 76 1
293 76 -1
293 88 1
293 76 1
293 77 -1
293 72 -1
293 80 -1
293 81 1
293 84 1
293 86 1
293 91 1
293 90 1
293 119 1
293 104 -1
293 119 -1
293 107 1
293 104 1
293 107 -1
294 20 1
294 15 -1
294 14 1
294 23 -1
294 29 1
294 27 -1
294 44 -1
294 52 -1
294 40 -1
294 35 -1
294 58 1
294 57 1
294 54 1
294 60 -1
294 46 1
294 54 1
294 53 1
294 75 1
294 69 -1
294 73 1
294 71 1
294 76 -1
294 89 -1
294 88 -1
294 89 1
294 87 1
294 87 1
294 89 1
294 86 1
294 104 1
294 119 -1
294 118 -1
294 108 1
294 107 1
294 104 -1
295 19 1
295 7 -1
295 7 1
295 16 -1
295 13 1
295 19 -1
295 51 -1
295 42 -1
295 52 -1
295 44 -1
295 40 1
295 44 1
295 48 1
295 44 -1
295 44 1
295 44 1
295 52 1
295 82 1
295 79 -1
295 81 1
295 83 1
295 81 -1
295 71 -1
295 75 -1
295 77 1
295 82 1
295 75 1
295 81 1
295 69 1
295 112 1
295 100 -1
295 112 -1
295 109 1
295 100 1
295 109 -1
296 18 1
296 29 -1
296 27 1
